"binomial","ID","Year","Lat","Long","Frequency","Duration","n","n_area","tau_p","tau_p_min","tau_p_max","tau_p_var","tau_v","tau_v_min","tau_v_max","tau_v_var","sigma","l_v","diffusion","diffusion_min","diffusion_max","hr","hr_min","hr_max"
"Priodontes_maximus","Laura",2022,-19.172583,-55.768685,7,66.2922800925926,3912,41.6967270053207,122565.795788367,86878.1019242128,172913.242399566,391862192.634033,676.356620337763,605.976148107035,754.911359636416,1360.93511208948,316425.371747554,41.786777198878,5.07481761742984,4.60638859213148,5.56560345024378,4025675.40548522,2897618.77992061,5336302.6607904
"Priodontes_maximus","Stacy",2022,-19.1506705,-55.8252375,7.06666666666667,295.432627314815,2150,29.3919558205224,179049.974717251,117092.573250019,273791.00617932,1227178599.36963,699.939756646292,566.104243467924,865.415987580084,5172.42390640837,1126092.5155024,66.3483665130624,12.307784361253,9.80833623131897,15.0866405630911,16596884.9443745,11148053.7691284,23112733.4772203
