"binomial","ID","mean_HFI","max_HFI","Native_forest","Pasture","Water"
"Priodontes_maximus","Laura",0.268310489696315,0.334582835435867,"14.43","81.16"," 4.41"
"Priodontes_maximus","Stacy",0.189203853504305,0.401248633861542,"46.75","45.80"," 7.45"
