"mp_ml","weight"
22.5,32.6
28.75,27.2
30,33
2.5,30.2
161.25,34.6
0,7.6
0,27.9
10,25
76.25,38.2
10,6.94
16.25,20
121.25,12.2
65,9.5
10,35
68.75,45.3
0,37.8
20,31
28.75,34
122.5,27.5
100,33.5
5,25
