"n","n_polymers_mean","n_polymers_sd"
1,4.23,2.42818051348342
2,5.8,2.0646128602298
3,8.08,1.8731489179152
4,9.2,1.66363360379525
5,9.94,1.36936171815613
6,10.2,1.2226812728383
7,10.62,0.940449065311059
8,10.91,0.779730593204985
9,11.06,0.678977246312497
10,11.45,0.641573192719398
11,11.6,0.512470743190538
12,11.8,0.402015126103685
13,11.9,0.301511344577764
14,12,0
