"sample","species","polymer","concentration"
"B55","Tapirus_terrestris","Polypropylene",0
"B55","Tapirus_terrestris","Polystyrene",0
"B55","Tapirus_terrestris","PVC",0
"B55","Tapirus_terrestris","Silicon",0
"B55","Tapirus_terrestris","Rubber",0
"B55","Tapirus_terrestris","PET",0
"B55","Tapirus_terrestris","Teflon",0
"B56","Tapirus_terrestris","ABS",0
"B56","Tapirus_terrestris","Cellulose",3.75
"B56","Tapirus_terrestris","Other",6.25
"B56","Tapirus_terrestris","Polyamide",0
"B56","Tapirus_terrestris","Polyester",0
"B56","Tapirus_terrestris","Polyethylene",0
"B56","Tapirus_terrestris","Polypropylene",0
"B56","Tapirus_terrestris","Polystyrene",0
"B56","Tapirus_terrestris","PVC",3.75
"B56","Tapirus_terrestris","Silicon",0
"B56","Tapirus_terrestris","Rubber",1.25
"B56","Tapirus_terrestris","PET",0
"B56","Tapirus_terrestris","Teflon",0
"B6","Myrmecophaga_tridactyla","ABS",0
"B6","Myrmecophaga_tridactyla","Cellulose",15
"B6","Myrmecophaga_tridactyla","Other",3.75
"B6","Myrmecophaga_tridactyla","Polyamide",0
"B6","Myrmecophaga_tridactyla","Polyester",0
"B6","Myrmecophaga_tridactyla","Polyethylene",0
"B6","Myrmecophaga_tridactyla","Polypropylene",5
"B6","Myrmecophaga_tridactyla","Polystyrene",1.25
"B6","Myrmecophaga_tridactyla","PVC",0
"B6","Myrmecophaga_tridactyla","Silicon",0
"B6","Myrmecophaga_tridactyla","Rubber",3.75
"B6","Myrmecophaga_tridactyla","PET",0
"B6","Myrmecophaga_tridactyla","Teflon",0
"B7","Myrmecophaga_tridactyla","ABS",0
"B7","Myrmecophaga_tridactyla","Cellulose",22.5
"B7","Myrmecophaga_tridactyla","Other",8.75
"B7","Myrmecophaga_tridactyla","Polyamide",2.5
"B7","Myrmecophaga_tridactyla","Polyester",0
"B7","Myrmecophaga_tridactyla","Polyethylene",0
"B7","Myrmecophaga_tridactyla","Polypropylene",16.25
"B7","Myrmecophaga_tridactyla","Polystyrene",11.25
"B7","Myrmecophaga_tridactyla","PVC",10
"B7","Myrmecophaga_tridactyla","Silicon",2.5
"B7","Myrmecophaga_tridactyla","Rubber",2.5
"B7","Myrmecophaga_tridactyla","PET",0
"B7","Myrmecophaga_tridactyla","Teflon",46.25
"B8","Myrmecophaga_tridactyla","ABS",2.5
"B8","Myrmecophaga_tridactyla","Cellulose",17.5
"B8","Myrmecophaga_tridactyla","Other",3.75
"B8","Myrmecophaga_tridactyla","Polyamide",0
"B8","Myrmecophaga_tridactyla","Polyester",0
"B8","Myrmecophaga_tridactyla","Polyethylene",0
"B8","Myrmecophaga_tridactyla","Polypropylene",0
"B8","Myrmecophaga_tridactyla","Polystyrene",0
"B8","Myrmecophaga_tridactyla","PVC",76.25
"B8","Myrmecophaga_tridactyla","Silicon",0
"B8","Myrmecophaga_tridactyla","Rubber",0
"B8","Myrmecophaga_tridactyla","PET",0
"B8","Myrmecophaga_tridactyla","Teflon",0
"B9","Myrmecophaga_tridactyla","ABS",0
"B9","Myrmecophaga_tridactyla","Cellulose",0
"B9","Myrmecophaga_tridactyla","Other",1.25
"B9","Myrmecophaga_tridactyla","Polyamide",2.5
"B9","Myrmecophaga_tridactyla","Polyester",0
"B9","Myrmecophaga_tridactyla","Polyethylene",0
"B9","Myrmecophaga_tridactyla","Polypropylene",0
"B9","Myrmecophaga_tridactyla","Polystyrene",0
"B9","Myrmecophaga_tridactyla","PVC",0
"B9","Myrmecophaga_tridactyla","Silicon",0
"B9","Myrmecophaga_tridactyla","Rubber",1.25
"B9","Myrmecophaga_tridactyla","PET",0
"B9","Myrmecophaga_tridactyla","Teflon",0
