"mp_ml","weight"
2.5,195
0,195
6.25,165
23.75,165
286.25,165
3.75,165
5,190
1.25,190
513.75,125
58.75,190
11.25,210
11.25,220
5,200
3.75,190
125,180
55,230
1211.25,190
23.75,200
18.75,200
35,230
91.25,210
7.5,190
1.25,220
15,200
