"sample","species","biome","polymer","concentration"
"B47","Tapirus_terrestris","Amazon","Polypropylene",110
"B47","Tapirus_terrestris","Amazon","Polystyrene",0
"B47","Tapirus_terrestris","Amazon","PVC",1.25
"B47","Tapirus_terrestris","Amazon","Silicon",0
"B47","Tapirus_terrestris","Amazon","Rubber",0
"B47","Tapirus_terrestris","Amazon","PET",0
"B47","Tapirus_terrestris","Amazon","Teflon",1.25
"B48","Tapirus_terrestris","Amazon","ABS",1.25
"B48","Tapirus_terrestris","Amazon","Cellulose",0
"B48","Tapirus_terrestris","Amazon","Other",8.75
"B48","Tapirus_terrestris","Amazon","Polyamide",41.25
"B48","Tapirus_terrestris","Amazon","Polyester",0
"B48","Tapirus_terrestris","Amazon","Polyethylene",0
"B48","Tapirus_terrestris","Amazon","Polypropylene",0
"B48","Tapirus_terrestris","Amazon","Polystyrene",0
"B48","Tapirus_terrestris","Amazon","PVC",0
"B48","Tapirus_terrestris","Amazon","Silicon",0
"B48","Tapirus_terrestris","Amazon","Rubber",3.75
"B48","Tapirus_terrestris","Amazon","PET",0
"B48","Tapirus_terrestris","Amazon","Teflon",0
"B49","Tapirus_terrestris","Amazon","ABS",1.25
"B49","Tapirus_terrestris","Amazon","Cellulose",0
"B49","Tapirus_terrestris","Amazon","Other",208.75
"B49","Tapirus_terrestris","Amazon","Polyamide",247.5
"B49","Tapirus_terrestris","Amazon","Polyester",1.25
"B49","Tapirus_terrestris","Amazon","Polyethylene",13.75
"B49","Tapirus_terrestris","Amazon","Polypropylene",716.25
"B49","Tapirus_terrestris","Amazon","Polystyrene",11.25
"B49","Tapirus_terrestris","Amazon","PVC",3.75
"B49","Tapirus_terrestris","Amazon","Silicon",0
"B49","Tapirus_terrestris","Amazon","Rubber",6.25
"B49","Tapirus_terrestris","Amazon","PET",0
"B49","Tapirus_terrestris","Amazon","Teflon",1.25
"B5","Myrmecophaga_tridactyla","Cerrado","ABS",1.25
"B5","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B5","Myrmecophaga_tridactyla","Cerrado","Other",2.5
"B5","Myrmecophaga_tridactyla","Cerrado","Polyamide",1.25
"B5","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B5","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B5","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B5","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B5","Myrmecophaga_tridactyla","Cerrado","PVC",11.25
"B5","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B5","Myrmecophaga_tridactyla","Cerrado","Rubber",1.25
"B5","Myrmecophaga_tridactyla","Cerrado","PET",2.5
"B5","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B50","Tapirus_terrestris","Amazon","ABS",1.25
"B50","Tapirus_terrestris","Amazon","Cellulose",5
"B50","Tapirus_terrestris","Amazon","Other",1.25
"B50","Tapirus_terrestris","Amazon","Polyamide",0
"B50","Tapirus_terrestris","Amazon","Polyester",0
"B50","Tapirus_terrestris","Amazon","Polyethylene",0
"B50","Tapirus_terrestris","Amazon","Polypropylene",13.75
"B50","Tapirus_terrestris","Amazon","Polystyrene",0
"B50","Tapirus_terrestris","Amazon","PVC",0
"B50","Tapirus_terrestris","Amazon","Silicon",0
"B50","Tapirus_terrestris","Amazon","Rubber",2.5
"B50","Tapirus_terrestris","Amazon","PET",0
"B50","Tapirus_terrestris","Amazon","Teflon",0
"B51","Tapirus_terrestris","Amazon","ABS",2.5
"B51","Tapirus_terrestris","Amazon","Cellulose",0
"B51","Tapirus_terrestris","Amazon","Other",16.25
"B51","Tapirus_terrestris","Amazon","Polyamide",0
"B51","Tapirus_terrestris","Amazon","Polyester",0
"B51","Tapirus_terrestris","Amazon","Polyethylene",0
"B51","Tapirus_terrestris","Amazon","Polypropylene",0
"B51","Tapirus_terrestris","Amazon","Polystyrene",0
"B51","Tapirus_terrestris","Amazon","PVC",0
"B51","Tapirus_terrestris","Amazon","Silicon",0
"B51","Tapirus_terrestris","Amazon","Rubber",0
"B51","Tapirus_terrestris","Amazon","PET",0
"B51","Tapirus_terrestris","Amazon","Teflon",0
"B52","Tapirus_terrestris","Amazon","ABS",0
"B52","Tapirus_terrestris","Amazon","Cellulose",0
"B52","Tapirus_terrestris","Amazon","Other",0
"B52","Tapirus_terrestris","Amazon","Polyamide",32.5
"B52","Tapirus_terrestris","Amazon","Polyester",0
"B52","Tapirus_terrestris","Amazon","Polyethylene",0
"B52","Tapirus_terrestris","Amazon","Polypropylene",0
"B52","Tapirus_terrestris","Amazon","Polystyrene",1.25
"B52","Tapirus_terrestris","Amazon","PVC",0
"B52","Tapirus_terrestris","Amazon","Silicon",0
"B52","Tapirus_terrestris","Amazon","Rubber",1.25
"B52","Tapirus_terrestris","Amazon","PET",0
"B52","Tapirus_terrestris","Amazon","Teflon",0
"B53","Tapirus_terrestris","Amazon","ABS",1.25
"B53","Tapirus_terrestris","Amazon","Cellulose",0
"B53","Tapirus_terrestris","Amazon","Other",37.5
"B53","Tapirus_terrestris","Amazon","Polyamide",23.75
"B53","Tapirus_terrestris","Amazon","Polyester",0
"B53","Tapirus_terrestris","Amazon","Polyethylene",2.5
"B53","Tapirus_terrestris","Amazon","Polypropylene",22.5
"B53","Tapirus_terrestris","Amazon","Polystyrene",0
"B53","Tapirus_terrestris","Amazon","PVC",2.5
"B53","Tapirus_terrestris","Amazon","Silicon",0
"B53","Tapirus_terrestris","Amazon","Rubber",0
"B53","Tapirus_terrestris","Amazon","PET",0
"B53","Tapirus_terrestris","Amazon","Teflon",1.25
"B54","Tapirus_terrestris","Amazon","ABS",0
"B54","Tapirus_terrestris","Amazon","Cellulose",0
"B54","Tapirus_terrestris","Amazon","Other",2.5
"B54","Tapirus_terrestris","Amazon","Polyamide",0
"B54","Tapirus_terrestris","Amazon","Polyester",0
"B54","Tapirus_terrestris","Amazon","Polyethylene",0
"B54","Tapirus_terrestris","Amazon","Polypropylene",0
"B54","Tapirus_terrestris","Amazon","Polystyrene",3.75
"B54","Tapirus_terrestris","Amazon","PVC",0
"B54","Tapirus_terrestris","Amazon","Silicon",0
"B54","Tapirus_terrestris","Amazon","Rubber",1.25
"B54","Tapirus_terrestris","Amazon","PET",0
"B54","Tapirus_terrestris","Amazon","Teflon",0
"B55","Tapirus_terrestris","Amazon","ABS",0
"B55","Tapirus_terrestris","Amazon","Cellulose",0
"B55","Tapirus_terrestris","Amazon","Other",0
"B55","Tapirus_terrestris","Amazon","Polyamide",1.25
"B55","Tapirus_terrestris","Amazon","Polyester",0
"B55","Tapirus_terrestris","Amazon","Polyethylene",0
"B55","Tapirus_terrestris","Amazon","Polypropylene",0
"B55","Tapirus_terrestris","Amazon","Polystyrene",0
"B55","Tapirus_terrestris","Amazon","PVC",0
"B55","Tapirus_terrestris","Amazon","Silicon",0
"B55","Tapirus_terrestris","Amazon","Rubber",0
"B55","Tapirus_terrestris","Amazon","PET",0
"B55","Tapirus_terrestris","Amazon","Teflon",0
"B56","Tapirus_terrestris","Amazon","ABS",0
"B56","Tapirus_terrestris","Amazon","Cellulose",3.75
"B56","Tapirus_terrestris","Amazon","Other",6.25
"B56","Tapirus_terrestris","Amazon","Polyamide",0
"B56","Tapirus_terrestris","Amazon","Polyester",0
"B56","Tapirus_terrestris","Amazon","Polyethylene",0
"B56","Tapirus_terrestris","Amazon","Polypropylene",0
"B56","Tapirus_terrestris","Amazon","Polystyrene",0
"B56","Tapirus_terrestris","Amazon","PVC",3.75
"B56","Tapirus_terrestris","Amazon","Silicon",0
"B56","Tapirus_terrestris","Amazon","Rubber",1.25
"B56","Tapirus_terrestris","Amazon","PET",0
"B56","Tapirus_terrestris","Amazon","Teflon",0
"B6","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B6","Myrmecophaga_tridactyla","Cerrado","Cellulose",15
"B6","Myrmecophaga_tridactyla","Cerrado","Other",3.75
"B6","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B6","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B6","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B6","Myrmecophaga_tridactyla","Cerrado","Polypropylene",5
"B6","Myrmecophaga_tridactyla","Cerrado","Polystyrene",1.25
"B6","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B6","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B6","Myrmecophaga_tridactyla","Cerrado","Rubber",3.75
"B6","Myrmecophaga_tridactyla","Cerrado","PET",0
"B6","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B7","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B7","Myrmecophaga_tridactyla","Cerrado","Cellulose",22.5
"B7","Myrmecophaga_tridactyla","Cerrado","Other",8.75
"B7","Myrmecophaga_tridactyla","Cerrado","Polyamide",2.5
"B7","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B7","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B7","Myrmecophaga_tridactyla","Cerrado","Polypropylene",16.25
"B7","Myrmecophaga_tridactyla","Cerrado","Polystyrene",11.25
"B7","Myrmecophaga_tridactyla","Cerrado","PVC",10
"B7","Myrmecophaga_tridactyla","Cerrado","Silicon",2.5
"B7","Myrmecophaga_tridactyla","Cerrado","Rubber",2.5
"B7","Myrmecophaga_tridactyla","Cerrado","PET",0
"B7","Myrmecophaga_tridactyla","Cerrado","Teflon",46.25
"B8","Myrmecophaga_tridactyla","Cerrado","ABS",2.5
"B8","Myrmecophaga_tridactyla","Cerrado","Cellulose",17.5
"B8","Myrmecophaga_tridactyla","Cerrado","Other",3.75
"B8","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B8","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B8","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B8","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B8","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B8","Myrmecophaga_tridactyla","Cerrado","PVC",76.25
"B8","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B8","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B8","Myrmecophaga_tridactyla","Cerrado","PET",0
"B8","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B9","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B9","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B9","Myrmecophaga_tridactyla","Cerrado","Other",1.25
"B9","Myrmecophaga_tridactyla","Cerrado","Polyamide",2.5
"B9","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B9","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B9","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B9","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B9","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B9","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B9","Myrmecophaga_tridactyla","Cerrado","Rubber",1.25
"B9","Myrmecophaga_tridactyla","Cerrado","PET",0
"B9","Myrmecophaga_tridactyla","Cerrado","Teflon",0
