"sample","species","biome","polymer","concentration"
"B18","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B18","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B18","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B18","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B19","Myrmecophaga_tridactyla","Cerrado","PET",1.25
"B19","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B19","Myrmecophaga_tridactyla","Cerrado","Other",1.25
"B19","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B19","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B19","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B19","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B19","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B19","Myrmecophaga_tridactyla","Cerrado","PVC",5
"B19","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B19","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B19","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B19","Myrmecophaga_tridactyla","Cerrado","Silicon",2.5
"B2","Myrmecophaga_tridactyla","Cerrado","Silicon",1.25
"B2","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B2","Myrmecophaga_tridactyla","Cerrado","Other",11.25
"B2","Myrmecophaga_tridactyla","Cerrado","Polyamide",5
"B2","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B2","Myrmecophaga_tridactyla","Cerrado","Cellulose",52.5
"B2","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B2","Myrmecophaga_tridactyla","Cerrado","Polystyrene",3.75
"B2","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B2","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B2","Myrmecophaga_tridactyla","Cerrado","PET",0
"B2","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B2","Myrmecophaga_tridactyla","Cerrado","Rubber",2.5
"B20","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B20","Myrmecophaga_tridactyla","Cerrado","Silicon",1.25
"B20","Myrmecophaga_tridactyla","Cerrado","PET",0
"B20","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B20","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B20","Myrmecophaga_tridactyla","Cerrado","Other",1.25
"B20","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B20","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B20","Myrmecophaga_tridactyla","Cerrado","Polyethylene",1.25
"B20","Myrmecophaga_tridactyla","Cerrado","Polypropylene",3.75
"B20","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B20","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B20","Myrmecophaga_tridactyla","Cerrado","PVC",2.5
"B21","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B21","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B21","Myrmecophaga_tridactyla","Cerrado","Other",0
"B21","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B21","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B21","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B21","Myrmecophaga_tridactyla","Cerrado","Polypropylene",5
"B21","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B21","Myrmecophaga_tridactyla","Cerrado","PVC",11.25
"B21","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B21","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B21","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B21","Myrmecophaga_tridactyla","Cerrado","PET",0
"B22","Myrmecophaga_tridactyla","Cerrado","ABS",1.25
"B22","Myrmecophaga_tridactyla","Cerrado","Cellulose",13.75
"B22","Myrmecophaga_tridactyla","Cerrado","Other",8.75
"B22","Myrmecophaga_tridactyla","Cerrado","PET",22.5
"B22","Myrmecophaga_tridactyla","Cerrado","Polyester",10
"B22","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B22","Myrmecophaga_tridactyla","Cerrado","Polypropylene",45
"B22","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B22","Myrmecophaga_tridactyla","Cerrado","PVC",18.75
"B22","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B22","Myrmecophaga_tridactyla","Cerrado","Rubber",1.25
"B22","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B22","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B23","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B23","Myrmecophaga_tridactyla","Cerrado","Other",5
"B23","Myrmecophaga_tridactyla","Cerrado","ABS",1.25
"B23","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B23","Myrmecophaga_tridactyla","Cerrado","Polypropylene",1.25
"B23","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B23","Myrmecophaga_tridactyla","Cerrado","Polyester",3.75
"B23","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B23","Myrmecophaga_tridactyla","Cerrado","PET",0
"B23","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B23","Myrmecophaga_tridactyla","Cerrado","PVC",53.75
"B23","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B23","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B24","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B24","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B24","Myrmecophaga_tridactyla","Cerrado","Other",0
"B24","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B24","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B24","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B24","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B24","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B24","Myrmecophaga_tridactyla","Cerrado","PVC",3.75
"B24","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B24","Myrmecophaga_tridactyla","Cerrado","Rubber",1.25
"B24","Myrmecophaga_tridactyla","Cerrado","PET",0
"B24","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B25","Priodontes_maximus","Pantanal","ABS",0
"B25","Priodontes_maximus","Pantanal","Cellulose",6.25
"B25","Priodontes_maximus","Pantanal","Other",0
"B25","Priodontes_maximus","Pantanal","Polyamide",0
"B25","Priodontes_maximus","Pantanal","Teflon",0
"B25","Priodontes_maximus","Pantanal","Polyethylene",0
"B25","Priodontes_maximus","Pantanal","Polypropylene",0
"B25","Priodontes_maximus","Pantanal","Polystyrene",0
"B25","Priodontes_maximus","Pantanal","Polyester",0
"B25","Priodontes_maximus","Pantanal","Silicon",0
"B25","Priodontes_maximus","Pantanal","Rubber",0
"B25","Priodontes_maximus","Pantanal","PET",0
"B25","Priodontes_maximus","Pantanal","PVC",0
"B27","Priodontes_maximus","Pantanal","ABS",0
"B27","Priodontes_maximus","Pantanal","Cellulose",0
"B27","Priodontes_maximus","Pantanal","Other",1.25
"B27","Priodontes_maximus","Pantanal","Polyamide",0
"B27","Priodontes_maximus","Pantanal","Polyester",0
"B27","Priodontes_maximus","Pantanal","Polyethylene",0
"B27","Priodontes_maximus","Pantanal","Polypropylene",0
"B27","Priodontes_maximus","Pantanal","Polystyrene",0
"B27","Priodontes_maximus","Pantanal","PVC",0
"B27","Priodontes_maximus","Pantanal","Silicon",0
"B27","Priodontes_maximus","Pantanal","Rubber",0
"B27","Priodontes_maximus","Pantanal","PET",0
"B27","Priodontes_maximus","Pantanal","Teflon",0
"B28","Priodontes_maximus","Pantanal","ABS",0
"B28","Priodontes_maximus","Pantanal","Cellulose",2.5
"B28","Priodontes_maximus","Pantanal","Other",6.25
"B28","Priodontes_maximus","Pantanal","Polyamide",1.25
"B28","Priodontes_maximus","Pantanal","Polyester",1.25
"B28","Priodontes_maximus","Pantanal","Polyethylene",0
"B28","Priodontes_maximus","Pantanal","Polypropylene",16.25
"B28","Priodontes_maximus","Pantanal","Polystyrene",0
"B28","Priodontes_maximus","Pantanal","PVC",1.25
"B28","Priodontes_maximus","Pantanal","Silicon",1.25
"B28","Priodontes_maximus","Pantanal","Rubber",5
"B28","Priodontes_maximus","Pantanal","PET",0
"B28","Priodontes_maximus","Pantanal","Teflon",0
"B3","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B3","Myrmecophaga_tridactyla","Cerrado","Cellulose",20
"B3","Myrmecophaga_tridactyla","Cerrado","Other",7.5
"B3","Myrmecophaga_tridactyla","Cerrado","Polyamide",2.5
"B3","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B3","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
