"species","Width"
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",30.98
"Myrmecophaga_tridactyla",6
"Myrmecophaga_tridactyla",4.84
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",2.49
"Myrmecophaga_tridactyla",6.65
"Myrmecophaga_tridactyla",1.61
"Myrmecophaga_tridactyla",4.29
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",5.51
"Myrmecophaga_tridactyla",5.97
"Myrmecophaga_tridactyla",8.21
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",2.49
"Myrmecophaga_tridactyla",12.91
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",3.52
"Myrmecophaga_tridactyla",4.33
"Myrmecophaga_tridactyla",4.49
"Myrmecophaga_tridactyla",9.66
"Myrmecophaga_tridactyla",8.3
"Myrmecophaga_tridactyla",1.74
"Myrmecophaga_tridactyla",10.64
"Myrmecophaga_tridactyla",6.84
"Myrmecophaga_tridactyla",10.05
"Myrmecophaga_tridactyla",3.22
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",1.88
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",10.12
"Myrmecophaga_tridactyla",7.53
"Myrmecophaga_tridactyla",4.84
"Myrmecophaga_tridactyla",10.92
"Myrmecophaga_tridactyla",17.44
"Myrmecophaga_tridactyla",5.01
"Myrmecophaga_tridactyla",3.58
"Myrmecophaga_tridactyla",19.25
"Myrmecophaga_tridactyla",5.01
"Myrmecophaga_tridactyla",3.04
"Myrmecophaga_tridactyla",3.84
"Myrmecophaga_tridactyla",3.04
"Myrmecophaga_tridactyla",3.97
"Myrmecophaga_tridactyla",1.05
"Myrmecophaga_tridactyla",2.33
"Myrmecophaga_tridactyla",1.65
"Myrmecophaga_tridactyla",6.76
"Myrmecophaga_tridactyla",1.85
"Myrmecophaga_tridactyla",10.35
"Myrmecophaga_tridactyla",8.13
"Myrmecophaga_tridactyla",10.22
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",18.93
"Myrmecophaga_tridactyla",1.65
"Myrmecophaga_tridactyla",1.19
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",2.22
"Myrmecophaga_tridactyla",4.7
"Myrmecophaga_tridactyla",7.66
"Myrmecophaga_tridactyla",1.98
"Myrmecophaga_tridactyla",5.17
"Myrmecophaga_tridactyla",2.22
"Myrmecophaga_tridactyla",2.22
"Myrmecophaga_tridactyla",1.85
"Myrmecophaga_tridactyla",4.35
"Myrmecophaga_tridactyla",6.74
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",1.23
"Myrmecophaga_tridactyla",12.16
"Myrmecophaga_tridactyla",11.99
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",2.47
"Myrmecophaga_tridactyla",5.31
"Myrmecophaga_tridactyla",5.02
"Myrmecophaga_tridactyla",11.43
"Myrmecophaga_tridactyla",2.61
"Myrmecophaga_tridactyla",3.14
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",2.09
"Myrmecophaga_tridactyla",6.4
"Myrmecophaga_tridactyla",4.63
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",1.32
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",2.05
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",6.98
"Myrmecophaga_tridactyla",8.26
"Myrmecophaga_tridactyla",28.83
"Myrmecophaga_tridactyla",15.59
"Myrmecophaga_tridactyla",1.87
"Myrmecophaga_tridactyla",8.89
"Myrmecophaga_tridactyla",3.55
"Myrmecophaga_tridactyla",7.39
"Myrmecophaga_tridactyla",9.36
"Myrmecophaga_tridactyla",2.22
"Myrmecophaga_tridactyla",1.57
"Myrmecophaga_tridactyla",12.36
"Myrmecophaga_tridactyla",1.56
"Myrmecophaga_tridactyla",14.17
"Myrmecophaga_tridactyla",2.61
"Myrmecophaga_tridactyla",3.05
"Myrmecophaga_tridactyla",7.84
"Myrmecophaga_tridactyla",1.4
"Myrmecophaga_tridactyla",3.95
"Myrmecophaga_tridactyla",3.95
"Myrmecophaga_tridactyla",5.93
"Myrmecophaga_tridactyla",9.44
"Myrmecophaga_tridactyla",7.12
"Myrmecophaga_tridactyla",2.97
"Myrmecophaga_tridactyla",2.1
"Myrmecophaga_tridactyla",2.8
"Myrmecophaga_tridactyla",27.17
"Myrmecophaga_tridactyla",9.11
"Myrmecophaga_tridactyla",6.67
"Myrmecophaga_tridactyla",4.52
"Myrmecophaga_tridactyla",9.93
"Myrmecophaga_tridactyla",8.31
