"n","Shannon_mean","Shannon_sd"
1,0.854009413763012,0.541775062462639
2,1.13354737780996,0.405073586935767
3,1.38196994761524,0.401295411095689
4,1.38104900757469,0.412893438275269
5,1.41113533899432,0.394768617700519
6,1.32502785485849,0.351539419805906
7,1.39536062376162,0.328413709500534
8,1.37215061411693,0.290288403174934
9,1.42745993920091,0.239044045319277
10,1.42820801008692,0.201803689941646
11,1.44579943548535,0.149125595631546
12,1.4825501252127,0.108730806709606
13,1.50632867731085,0.088735850006108
14,1.54768059181949,0
