"n","n_polymers_mean","n_polymers_sd"
1,3.56,2.34550935649682
2,5.38,2.5337320260434
3,7.42,2.35350587400794
4,8.59,2.04541863043666
5,9.59,1.67630546142402
6,10.06,1.53622914957372
7,10.48,1.26714504523222
8,11.03,0.979125563289443
9,11.22,0.823640600252221
10,11.51,0.65897073094518
11,11.6,0.681649810860727
12,11.79,0.409360180740332
13,11.95,0.21904291355759
14,12,0
