"species","Length"
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",37.93
"Myrmecophaga_tridactyla",10.08
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",11.61
"Myrmecophaga_tridactyla",5.64
"Myrmecophaga_tridactyla",8.81
"Myrmecophaga_tridactyla",4.03
"Myrmecophaga_tridactyla",8.05
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",4.79
"Myrmecophaga_tridactyla",14.52
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",8.87
"Myrmecophaga_tridactyla",48.38
"Myrmecophaga_tridactyla",9.58
"Myrmecophaga_tridactyla",7.74
"Myrmecophaga_tridactyla",21.29
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",5.64
"Myrmecophaga_tridactyla",33.56
"Myrmecophaga_tridactyla",8.71
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",6.81
"Myrmecophaga_tridactyla",5.19
"Myrmecophaga_tridactyla",7.19
"Myrmecophaga_tridactyla",13.69
"Myrmecophaga_tridactyla",10.78
"Myrmecophaga_tridactyla",9.04
"Myrmecophaga_tridactyla",16.45
"Myrmecophaga_tridactyla",10.26
"Myrmecophaga_tridactyla",20.31
"Myrmecophaga_tridactyla",4.56
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",7.52
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",16.45
"Myrmecophaga_tridactyla",9.68
"Myrmecophaga_tridactyla",23.73
"Myrmecophaga_tridactyla",18.26
"Myrmecophaga_tridactyla",5.81
"Myrmecophaga_tridactyla",21
"Myrmecophaga_tridactyla",18.36
"Myrmecophaga_tridactyla",8.6
"Myrmecophaga_tridactyla",4.3
"Myrmecophaga_tridactyla",19.25
"Myrmecophaga_tridactyla",5.01
"Myrmecophaga_tridactyla",4.05
"Myrmecophaga_tridactyla",9.93
"Myrmecophaga_tridactyla",5.07
"Myrmecophaga_tridactyla",5.17
"Myrmecophaga_tridactyla",4.7
"Myrmecophaga_tridactyla",4.12
"Myrmecophaga_tridactyla",1.98
"Myrmecophaga_tridactyla",11.51
"Myrmecophaga_tridactyla",5.74
"Myrmecophaga_tridactyla",14.78
"Myrmecophaga_tridactyla",14.78
"Myrmecophaga_tridactyla",17.39
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",18.93
"Myrmecophaga_tridactyla",4.3
"Myrmecophaga_tridactyla",10.64
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",9.61
"Myrmecophaga_tridactyla",5.75
"Myrmecophaga_tridactyla",17.41
"Myrmecophaga_tridactyla",3.64
"Myrmecophaga_tridactyla",6.65
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",5.91
"Myrmecophaga_tridactyla",9.02
"Myrmecophaga_tridactyla",4.49
"Myrmecophaga_tridactyla",17.4
"Myrmecophaga_tridactyla",7.23
"Myrmecophaga_tridactyla",4.31
"Myrmecophaga_tridactyla",73.16
"Myrmecophaga_tridactyla",16.74
"Myrmecophaga_tridactyla",4.44
"Myrmecophaga_tridactyla",12.63
"Myrmecophaga_tridactyla",13.8
"Myrmecophaga_tridactyla",7.71
"Myrmecophaga_tridactyla",19.86
"Myrmecophaga_tridactyla",20.69
"Myrmecophaga_tridactyla",6.8
"Myrmecophaga_tridactyla",4.44
"Myrmecophaga_tridactyla",5.23
"Myrmecophaga_tridactyla",11.98
"Myrmecophaga_tridactyla",40.15
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",13.22
"Myrmecophaga_tridactyla",8.87
"Myrmecophaga_tridactyla",3.69
"Myrmecophaga_tridactyla",16.26
"Myrmecophaga_tridactyla",25.31
"Myrmecophaga_tridactyla",12.56
"Myrmecophaga_tridactyla",28.98
"Myrmecophaga_tridactyla",19.23
"Myrmecophaga_tridactyla",3.27
"Myrmecophaga_tridactyla",17.25
"Myrmecophaga_tridactyla",6.36
"Myrmecophaga_tridactyla",8.87
"Myrmecophaga_tridactyla",33.89
"Myrmecophaga_tridactyla",2.96
"Myrmecophaga_tridactyla",3.14
"Myrmecophaga_tridactyla",13.6
"Myrmecophaga_tridactyla",10.04
"Myrmecophaga_tridactyla",15.94
"Myrmecophaga_tridactyla",4.7
"Myrmecophaga_tridactyla",6.81
"Myrmecophaga_tridactyla",13.59
"Myrmecophaga_tridactyla",8.42
"Myrmecophaga_tridactyla",5.93
"Myrmecophaga_tridactyla",4.94
"Myrmecophaga_tridactyla",7.91
"Myrmecophaga_tridactyla",19.21
"Myrmecophaga_tridactyla",12.54
"Myrmecophaga_tridactyla",2.97
"Myrmecophaga_tridactyla",4.19
"Myrmecophaga_tridactyla",4.19
"Myrmecophaga_tridactyla",53.75
"Myrmecophaga_tridactyla",18.76
"Myrmecophaga_tridactyla",11.91
"Myrmecophaga_tridactyla",5.27
"Myrmecophaga_tridactyla",25.03
"Myrmecophaga_tridactyla",18.19
"Myrmecophaga_tridactyla",9.77
"Myrmecophaga_tridactyla",14.48
"Myrmecophaga_tridactyla",36.02
"Myrmecophaga_tridactyla",19.04
"Myrmecophaga_tridactyla",7.45
"Myrmecophaga_tridactyla",11.67
"Myrmecophaga_tridactyla",9.81
"Myrmecophaga_tridactyla",32.28
"Myrmecophaga_tridactyla",16.55
"Myrmecophaga_tridactyla",4.62
"Myrmecophaga_tridactyla",4.9
"Myrmecophaga_tridactyla",4.9
