"source","length"
"blood",8.07
"blood",11.41
"blood",3.03
"blood",4.03
"blood",4.03
"blood",8.98
"blood",7.06
"blood",4.03
"blood",14.44
"blood",18.33
"blood",7.06
"blood",9.47
"blood",26.51
"blood",6.05
"blood",5.7
"blood",8.93
"blood",12.91
"blood",10.94
"blood",9.27
"blood",16.5
"blood",22.1
"blood",13.42
"blood",11.74
"blood",7.84
"blood",17.82
"blood",4.28
"blood",10.52
"blood",18.94
"blood",17.14
"blood",13.11
"blood",4.03
"blood",11.41
"blood",5.59
"blood",15.88
"blood",7.21
"blood",4.96
"blood",5.04
"blood",5.04
"blood",5.1
"blood",3.03
"blood",7.13
"blood",6.05
"blood",12.1
"blood",4.03
"blood",27.81
"blood",5.04
"blood",4.99
"blood",9.23
"blood",6.42
"blood",2.85
"blood",2.85
"blood",10.69
"blood",9.25
"blood",14.03
"blood",22.11
"blood",4.03
"blood",4.03
"blood",11.09
"blood",6.25
"blood",8.29
"blood",10.44
"blood",12.63
"blood",15.12
"blood",14.44
"blood",6.15
"blood",8.12
"blood",11.09
"blood",25.05
"blood",6.76
"blood",10.08
"blood",29.05
"blood",6.05
"blood",5.04
"blood",7.06
"blood",5.1
"blood",17.62
"blood",5.31
"blood",4.06
"blood",13.55
"blood",24.6
"blood",9.07
"blood",3.03
"blood",5.04
"blood",4.03
"blood",16.21
"blood",10.08
"blood",9.07
"blood",12.91
"blood",25.25
"blood",5.04
"blood",17.01
"blood",10.08
"blood",7.62
"blood",8.07
"blood",4.28
"blood",7.34
"blood",5.41
"blood",6.43
"blood",4.03
"blood",5.04
"blood",21.17
"blood",6.42
"blood",3.57
"blood",6.06
"blood",21.85
"blood",11.09
"blood",4.03
"blood",23.4
"blood",4.03
"blood",6.05
"blood",3.57
"blood",4.28
"blood",9.92
"blood",12.83
"blood",5.04
"blood",3.03
"blood",4.03
"blood",5.1
"blood",3.03
"blood",7.06
"blood",6.05
"blood",6.05
"blood",7.33
"blood",7.06
"blood",4.03
"blood",4.03
"blood",5.04
"blood",6.76
"blood",6.42
"blood",3.03
"blood",5.04
"blood",6.33
"blood",4.03
"blood",12.75
"blood",4.99
"blood",5.85
"blood",18.7
"blood",6.05
"blood",6.72
"blood",18.33
"blood",4.06
"blood",13.34
"blood",8.07
"blood",12.1
"blood",14.26
"blood",4.99
"blood",4.28
"blood",2.85
"blood",3.03
"blood",3.83
"blood",4.03
"blood",5.86
"blood",6.05
"blood",11.09
"blood",3.03
"blood",4.03
"blood",6.05
"blood",18.89
"blood",9.07
"blood",7.06
"blood",9.49
"blood",6.05
"blood",12.14
"blood",4.99
"blood",4.28
"blood",7.06
"blood",8.07
"blood",4.03
"blood",4.28
"blood",5.04
"blood",12.12
"blood",3.57
"blood",10.84
"blood",7.26
"blood",3.83
"blood",7.06
"blood",5.04
"blood",10.08
"blood",7.67
"blood",8.27
"blood",12.9
"blood",9.07
"blood",4.28
"blood",4.47
"blood",5.04
"blood",5.7
"blood",9.07
"blood",5.04
"blood",4.03
"blood",8.07
"blood",12.55
"blood",3.03
"blood",21.1
"blood",11.7
"blood",4.96
"blood",15.65
"blood",7.26
"blood",3.03
"blood",5.04
"blood",8.12
"blood",11.19
"blood",9.02
"blood",8.61
"blood",5.45
"blood",7.06
"blood",7.13
"blood",3.57
"blood",11.09
"blood",8.12
"blood",12.69
"blood",11.76
"blood",5.04
"blood",4.51
"blood",8.61
"blood",10.08
"blood",7.46
"blood",6.05
"blood",6.42
"blood",4.03
"blood",4.03
"blood",10.89
"blood",3.57
"blood",4.06
"blood",11.47
"blood",3.57
"blood",3.57
"blood",14.59
"blood",4.75
"blood",9.88
"blood",4.28
"blood",3.57
"blood",7.13
"blood",9.07
"blood",7.26
"blood",10.06
"blood",5.7
"blood",5.04
"blood",3.57
"blood",6.42
"blood",4.03
"blood",5.04
"blood",4.28
"blood",3.57
"blood",4.03
"blood",21.52
"blood",11.09
"blood",13.23
"blood",6.05
"blood",4.99
"blood",15.23
"blood",7.06
"blood",4.96
"blood",4.03
"blood",13.71
"blood",4.03
"blood",7.06
"blood",5.04
"blood",8.57
"blood",12.1
"blood",12.1
"blood",13.11
"blood",13.98
"blood",12.28
"blood",15.88
"blood",5.04
"blood",9.07
"blood",7.46
"blood",6.42
"blood",10.08
"blood",7.84
"blood",11.94
"blood",4.28
"blood",5.7
"blood",6.42
"blood",3.03
"blood",7.83
"blood",4.03
"blood",7.88
"blood",4.28
"blood",6.05
"blood",3.03
"blood",4.03
"blood",10.91
"blood",5.87
"blood",5.1
"blood",6.05
"blood",23.53
"blood",5.7
"blood",5.04
"blood",4.99
"blood",4.99
"blood",7.06
"blood",6.76
"blood",5.04
"blood",5.04
"blood",6.42
"blood",23.11
"blood",7.06
"blood",27.22
"blood",6.05
"blood",15.9
"blood",7.95
"blood",21.55
"blood",7.06
"blood",10.69
"blood",17.59
"blood",6.92
"blood",11.09
"blood",6.05
"blood",6.05
"blood",9.98
"blood",7.12
"blood",13.11
"blood",14.26
"blood",6.38
"blood",9.07
"blood",3.57
"blood",3.03
"blood",4.51
"blood",9.07
"blood",5.04
"blood",7.26
"blood",5.86
"blood",7.34
"blood",4.99
"blood",5.04
"blood",4.99
"blood",21.39
"blood",7.67
"blood",16.14
"blood",15.82
"blood",9.27
"blood",24.8
"blood",11.09
"blood",5.04
"blood",9.88
"blood",5.7
"blood",5.04
"blood",7.84
"blood",4.03
"blood",5.04
"blood",4.15
"blood",5.14
"blood",7.21
"blood",3.83
"blood",6.99
"blood",24.7
"blood",4.03
"blood",4.03
"blood",9.54
"blood",25.21
"blood",7.06
"blood",15.12
"blood",5.41
"blood",5.7
"blood",12.1
"blood",8.07
"blood",6.05
"blood",6.11
"blood",15.28
"blood",8.12
"blood",5.04
"blood",5.04
"blood",12.1
"blood",6.05
"blood",8.56
"blood",8.56
"blood",25.11
"blood",4.28
"blood",5.86
"blood",7.13
"blood",4.03
"blood",6.43
"blood",9.88
"blood",6.31
"blood",10.67
"blood",12.1
"blood",8.56
"blood",4.03
"blood",5.04
"blood",4.28
"blood",5.04
"blood",5.86
"blood",12.51
"blood",8.67
"blood",60.56
"blood",4.15
"blood",6.6
"blood",8.13
"blood",4.28
"blood",3.03
"blood",6.31
"blood",41.51
"blood",6.76
"blood",10.11
"blood",5.04
"blood",6.36
"blood",5.86
"blood",7.06
"blood",4.99
"blood",3.03
"blood",7.06
"blood",5.04
"blood",13.53
"blood",6.05
"blood",3.03
"blood",4.28
"blood",4.03
"blood",4.99
"blood",4.99
"blood",8.07
"blood",3.03
"blood",12.58
"blood",6.46
"blood",6.05
"blood",4.03
"blood",5.04
"blood",4.03
"blood",4.06
"blood",11.61
"blood",13.11
"blood",6.05
"blood",5.42
"blood",8.39
"blood",4.03
"blood",5.7
"blood",10.08
"blood",5.7
"blood",8.07
"blood",25.69
"blood",4.96
"blood",7.06
"blood",4.03
"blood",4.03
"blood",15.12
"blood",8.07
"blood",6.6
"blood",9.45
"blood",6.05
"blood",6.45
"blood",5.41
"blood",14.01
"blood",7.32
"blood",4.75
"blood",19.99
"blood",4.03
"blood",24.24
"blood",18.98
"blood",4.03
"blood",15.39
"blood",4.15
"blood",4.03
"blood",9.07
"blood",7.06
"blood",7.06
"blood",3.03
"blood",3.03
"blood",4.03
"blood",7.83
"blood",9.98
"blood",4.03
"blood",4.28
"blood",12.17
"blood",4.03
"blood",7.06
"blood",3.92
"blood",8.07
"blood",5.04
"blood",9.07
"blood",6.05
"blood",6.43
"blood",5.04
"blood",4.99
"blood",5.1
"blood",7.06
"blood",6.31
"blood",4.99
"blood",6.11
"blood",5.86
"blood",6.06
"blood",3.57
"blood",10.55
"blood",21.72
"blood",4.28
"blood",5.04
"blood",15.08
"blood",10.49
"blood",3.57
"blood",6.05
"blood",6.05
"blood",5.04
"blood",7.09
"blood",8.12
"blood",10.63
"blood",9.07
"blood",15.5
"blood",4.03
"blood",7.06
"blood",8.07
"blood",11.72
"blood",3.57
"blood",9.98
"blood",4.03
"blood",7.12
"blood",6.05
"blood",7.13
"blood",4.03
"blood",6.76
"blood",4.28
"blood",7.84
"blood",13.39
"blood",9.61
"blood",7.06
"blood",6.05
"blood",7.49
"blood",20.64
"blood",6.36
"blood",5.42
"blood",4.03
"blood",32.25
"blood",4.03
"blood",9.98
"blood",8.61
"blood",5.42
"blood",3.57
"blood",9.07
"blood",3.03
"blood",4.03
"blood",8.87
"blood",10.49
"blood",5.04
"blood",5.7
"blood",14.12
"blood",11.88
"blood",7.13
"blood",7.95
"blood",3.03
"blood",14.03
"blood",5.59
"blood",6.05
"blood",3.57
"blood",5.1
"blood",4.99
"blood",5.1
"blood",2.85
"blood",13.57
"blood",6.43
"blood",4.03
"blood",4.06
"blood",13.45
"blood",15.69
"blood",2.85
"blood",8.56
"blood",4.28
"blood",8.31
"blood",11.25
"blood",5.04
"blood",8.03
"blood",6.05
"blood",4.03
"blood",8.56
"blood",14.99
"blood",5.04
"blood",8.11
"blood",3.03
"blood",7.68
"blood",13.7
"blood",10.08
"blood",4.51
"blood",4.03
"blood",6.05
"blood",28.17
"blood",10.38
"blood",5.04
"blood",8.56
"blood",9.95
"blood",9.13
"blood",30.32
"blood",8.87
"blood",7.13
"blood",13.11
"blood",8.11
"blood",4.03
"blood",4.99
"blood",12.1
"blood",12.83
"blood",4.28
"blood",16.8
"blood",6.05
"blood",4.99
"blood",4.03
"blood",5.7
"blood",4.99
"blood",7.86
"blood",5.03
"blood",15.12
"blood",13.08
"blood",9.98
"blood",7.67
"blood",4.03
"blood",4.03
"blood",5.04
"blood",4.06
"blood",23.19
"blood",7.06
"blood",10.08
"blood",19.39
"blood",5.04
"blood",13.11
"blood",4.28
"blood",7.06
"blood",11.41
"blood",7.13
"blood",42.49
"blood",7.84
"blood",5.04
"blood",10.72
"blood",10.49
"blood",5.04
"blood",8.93
"blood",4.03
"blood",3.61
"blood",14.99
"blood",8.56
"blood",2.85
"blood",12.08
"blood",7.66
"blood",4.03
"blood",6.05
"blood",14.42
"blood",9.88
"blood",10.72
"blood",8.99
"blood",11.09
"blood",7.84
"blood",11.09
"blood",3.03
"blood",10.63
"blood",5.74
"blood",3.03
"blood",6.05
"blood",4.03
"blood",12.8
"blood",9.47
"blood",5.7
"blood",8.12
"blood",19.11
"blood",15.18
"blood",8.07
"blood",5.04
"blood",6.42
"blood",64
"blood",6.05
"blood",4.03
"blood",9.23
"blood",4.03
"blood",7.58
"blood",7.13
"blood",5.86
"blood",4.99
"blood",3.03
"blood",6.05
"blood",10.52
"blood",7.06
"blood",8.07
"blood",7.13
"blood",5.04
"blood",9.92
"blood",5.04
"blood",3.03
"blood",5.86
"blood",14.12
"blood",7.06
"blood",7.06
"blood",20.68
"blood",11.76
"blood",7.84
"blood",10.08
"blood",5.04
"blood",6.42
"blood",4.03
"blood",4.28
"blood",4.28
"blood",6.31
"blood",5.04
"blood",6.05
"blood",6.76
"blood",5.04
"blood",10.61
"blood",5.8
"blood",5.88
"blood",7.84
"blood",2.77
"blood",4.9
"blood",11.08
"blood",5.54
"blood",7.84
"blood",4.03
"blood",3.72
"blood",4.9
"blood",14.69
"blood",5.88
"blood",8.98
"blood",3.92
"blood",17.63
"blood",4.9
"blood",3.86
"blood",8.62
"blood",4.09
"blood",18.12
"blood",7.72
"blood",6.78
"blood",2.89
"blood",6.14
"blood",5.78
"blood",5.62
"blood",23.79
"blood",20.1
"blood",30.72
"blood",14.46
"blood",14.32
"blood",14.04
"blood",33.4
"blood",10.24
"blood",9.68
"blood",8
"blood",6.67
"blood",5.76
"blood",6.6
"blood",3.77
"blood",12.26
"blood",6.75
"blood",2.83
"blood",11.9
"blood",7.07
"blood",4.72
"blood",7.21
"blood",3.8
"blood",4.47
"blood",6.67
"blood",24.98
"blood",15.29
"blood",15.29
"blood",13.86
"blood",11.24
"blood",6.84
"blood",9.18
"blood",23.07
"blood",6.38
"blood",6.5
"blood",7.3
"blood",12.24
"blood",33.28
"blood",12.86
"blood",13.25
"blood",27.99
"blood",11.22
"blood",9.37
"blood",24.47
"blood",15.29
"blood",25.38
"blood",31.91
"blood",8.66
"blood",33.08
"blood",10.4
"blood",34.12
"blood",17.06
"blood",22.98
"blood",3.82
"blood",2.87
"blood",5.83
"blood",5.83
"blood",9.56
"blood",3.82
"blood",4.05
"blood",12.99
"blood",6.41
"blood",2.7
"blood",6.69
"blood",5.68
"blood",7.64
"blood",9.54
"blood",11.54
"blood",4.05
"blood",4.78
"blood",4.05
"blood",4.05
"blood",2.87
"blood",8.03
"blood",9.8
"blood",4.27
"blood",4.05
"blood",3.82
"blood",4.73
"blood",6.08
"blood",43.96
"blood",12.6
"blood",4.7
"blood",5.41
"blood",29.68
"blood",6.69
"blood",3.93
"blood",15.29
"blood",5.14
"blood",4.87
"blood",10.68
"blood",12.84
"blood",10.51
"blood",6.76
"blood",7.69
"blood",13.38
"blood",4.7
"blood",8.6
"blood",7.84
"blood",3.85
"blood",5.3
"blood",5.73
"blood",3.38
"blood",4.73
"blood",4.05
"blood",5.56
"blood",12.56
"blood",3.98
"blood",5.56
"blood",3.38
"blood",7.64
"blood",6.31
"blood",6.76
"blood",7.43
"blood",8.6
"blood",2.87
"blood",5.73
"blood",4.23
"blood",18.16
"blood",3.82
"blood",10.6
"blood",6.36
"blood",4.05
"blood",7.12
"blood",15.06
"blood",5.41
"blood",11.43
"blood",2.86
"blood",26.85
"blood",4.79
"blood",6.62
"blood",4.04
"blood",9.02
"blood",7.79
"blood",10.64
"blood",5.8
"blood",5.47
"blood",12.54
"blood",7.74
"blood",5.47
"blood",7.74
"blood",6.16
"blood",7.74
"blood",21.1
"blood",35.83
"blood",8.7
"blood",5.07
"blood",3.48
"blood",3.48
"blood",21.75
"blood",3.08
"blood",2.61
"blood",29.77
"blood",22.36
"blood",5.54
"blood",7.77
"blood",5.22
"blood",23.12
"blood",7.15
"blood",34.79
"blood",13.25
"blood",13.92
"blood",6.09
"blood",15.99
"blood",5.22
"blood",22.64
"blood",33.76
"blood",5.06
"blood",6.26
"blood",15.65
"blood",22.6
"blood",11.68
"blood",6.48
"blood",13.04
"blood",82.49
"blood",3.89
"blood",7.38
"blood",8.61
"blood",43.4
"blood",3.48
"blood",10.49
"blood",10.43
"blood",2.46
"blood",4.28
"blood",5.22
"blood",4.3
"blood",18.75
"blood",8.02
"blood",3.07
"blood",7.83
"blood",24.59
"blood",7.39
"blood",4.92
"blood",13.04
"blood",13.91
"blood",4.67
"blood",7.16
"blood",3.48
"blood",36.44
"blood",3.48
"blood",2.46
"blood",3.48
"blood",5.22
"blood",4.01
"blood",3.38
"blood",2.61
"blood",3.69
"blood",6.43
"blood",6.15
"blood",26.36
"blood",4.43
"blood",38.61
"blood",4.92
"blood",9.33
"blood",23.79
"blood",3.48
"blood",3.69
"blood",8.52
"blood",10.68
"blood",4.35
"blood",6.75
"blood",3.69
"blood",4.1
"blood",21.87
"blood",4.52
"blood",5.53
"blood",5.22
"blood",37.4
"blood",4.77
"blood",3.62
"blood",3.69
"blood",10.61
"blood",16.28
"blood",6.15
"blood",2.61
"blood",6.09
"blood",15.8
"blood",14.78
"blood",29.39
"blood",20.91
"blood",25.82
"blood",3.07
"blood",43.26
"blood",20
"blood",3.48
"blood",63.18
"blood",6.96
"blood",16.92
"blood",3.02
"blood",4.67
"blood",3.89
"blood",4.35
"blood",11.22
"blood",15.46
"blood",6.76
"blood",5.22
"blood",5.06
"blood",6.96
"blood",3.14
"blood",5.53
"blood",3.62
"blood",42.38
"blood",2.61
"blood",6.05
"blood",2.46
"blood",12.69
"blood",14.51
"blood",13.68
"blood",4.85
"blood",4.11
"blood",6.01
"blood",4.77
"blood",3.88
"blood",4.57
"blood",3.88
"blood",2.74
"blood",2.91
"blood",4.11
"blood",5.65
"blood",2.91
"blood",2.6
"blood",4.11
"blood",3.43
"blood",3.43
"blood",3.43
"blood",8.23
"blood",25.05
"blood",6.48
"blood",8.23
"blood",12.41
"blood",3.04
"blood",3.88
"blood",4.85
"blood",9.69
"blood",3.88
"blood",2.91
"blood",5.82
"blood",9.95
"blood",3.9
"blood",6.5
"blood",9.69
"blood",7.56
"blood",11.29
"blood",10.58
"blood",7.12
"blood",5.82
"blood",3.07
"blood",4.11
"blood",7.54
"blood",9.95
"blood",5.38
"blood",4.8
"blood",6.07
"blood",5.48
"blood",3.5
"blood",8.87
"blood",6.44
"blood",10.66
"blood",5.64
"blood",4.11
"blood",4.29
"blood",3.07
"blood",5.17
"blood",3.88
"blood",3.99
"blood",7.72
"blood",3.88
"blood",3.37
"blood",5.82
"blood",3.68
"blood",2.91
"blood",6.5
"blood",9.68
"blood",5.82
"blood",2.91
"blood",9.5
"blood",5.48
"blood",7.81
"blood",25.58
"blood",4.77
"blood",3.88
"blood",6.07
"blood",9.1
"blood",2.74
"blood",3.43
"blood",4.85
"blood",4.13
"blood",12.36
"blood",6.2
"blood",51.26
"control",11.444
"control",13.939
"control",14.824
"control",15.02
"control",15.628
"control",17.36
"control",22.65
"control",23.04
"control",24.959
"control",25.196
"control",26.914
"control",27.68
"control",28.833
"control",34.97
"control",44.9
"control",51.934
"control",53.11
"control",97.412
"control",99.01
"control",105.188
"control",156.492
"control",340.612
"control",497.402
"control",9.265
"control",9.323
"control",10.646
"control",11.017
"control",11.085
"control",11.127
"control",11.295
"control",11.301
"control",11.465
"control",11.475
"control",12.172
"control",12.284
"control",12.284
"control",12.374
"control",12.718
"control",12.818
"control",12.818
"control",13.103
"control",13.408
"control",13.764
"control",13.898
"control",13.922
"control",14.273
"control",14.741
"control",15.02
"control",15.039
"control",15.054
"control",15.083
"control",15.218
"control",15.415
"control",15.646
"control",16.379
"control",16.448
"control",16.793
"control",17.198
"control",17.548
"control",17.65
"control",17.992
"control",18.017
"control",18.355
"control",18.836
"control",18.852
"control",18.915
"control",18.999
"control",19.171
"control",19.275
"control",20.226
"control",20.473
"control",21.35
"control",21.965
"control",21.97
"control",22.362
"control",22.912
"control",24.038
"control",24.253
"control",24.404
"control",24.421
"control",24.845
"control",26.039
"control",26.638
"control",27.71
"control",27.888
"control",29.03
"control",29.672
"control",29.809
"control",30.301
"control",30.879
"control",31.863
"control",32.921
"control",33.454
"control",33.792
"control",34.395
"control",34.395
"control",36.176
"control",37.671
"control",39.591
"control",41.244
"control",44.459
"control",46.246
"control",49.169
"control",50.028
"control",53.166
"control",79.041
"control",90.054
"control",425.438
