"source","length"
"blood",10.35
"blood",4.14
"blood",28.71
"blood",131.03
"blood",59.31
"blood",49.18
"blood",7.41
"blood",28.87
"blood",7.41
"blood",34.16
"blood",68.23
"blood",118.7
"blood",26.31
"blood",16.69
"blood",25.26
"blood",7.41
"blood",6.32
"blood",4.14
"blood",30.56
"blood",26.51
"blood",13.89
"blood",22.77
"blood",167.24
"blood",16.58
"blood",6.21
"blood",35.14
"blood",12.44
"blood",4.39
"blood",5.17
"blood",76.29
"blood",9.51
"blood",15.5
"blood",5.45
"blood",26.43
"blood",21.75
"blood",71.34
"blood",4.63
"blood",28.97
"blood",8.84
"blood",7.41
"blood",106.61
"blood",14.1
"blood",6.64
"blood",12.15
"blood",6.4
"blood",9.74
"blood",167.07
"blood",3.96
"blood",11.18
"blood",11.18
"blood",91.99
"blood",8.44
"blood",5.27
"blood",2.92
"blood",4.31
"blood",5
"blood",5.08
"blood",5.75
"blood",10.06
"blood",7.9
"blood",12.19
"blood",10.56
"blood",24.42
"blood",7.39
"blood",9.01
"blood",10.16
"blood",14.22
"blood",10.77
"blood",7.9
"blood",5.14
"blood",18.17
"blood",5.08
"blood",6.46
"blood",14.08
"blood",9.14
"blood",10.06
"blood",15.42
"blood",5.08
"blood",4.06
"blood",10.9
"blood",7.73
"blood",14.03
"blood",6.8
"blood",12.83
"blood",2.9
"blood",3.89
"blood",29.14
"blood",6.83
"blood",7.64
"blood",2.9
"blood",5.12
"blood",33.12
"blood",6.15
"blood",37.69
"blood",15.73
"blood",4.1
"blood",5.8
"blood",3.03
"blood",24.28
"blood",6.77
"blood",14.06
"blood",6.83
"blood",7
"blood",12.17
"blood",4.83
"blood",4.78
"blood",7.73
"blood",7.73
"blood",8.7
"blood",5.8
"blood",16.43
"blood",3.87
"blood",7.73
"blood",6.42
"blood",18.28
"blood",6.83
"blood",12.3
"blood",4.1
"blood",7.73
"blood",6.15
"blood",5.47
"blood",7.94
"blood",33.02
"blood",7.95
"blood",36.27
"blood",6.83
"blood",25.78
"blood",4.1
"blood",5.8
"blood",3.42
"blood",8.7
"blood",3.75
"blood",8.15
"blood",3.87
"blood",36.79
"blood",4.1
"blood",10.37
"blood",7.64
"blood",17.42
"blood",5.47
"blood",5.69
"blood",23.73
"blood",3.96
"blood",10.52
"blood",7.75
"blood",6.49
"blood",6.64
"blood",3.5
"blood",31.77
"blood",9.4
"blood",16.41
"blood",4.95
"blood",6.2
"blood",22.88
"blood",7.3
"blood",14.01
"blood",7
"blood",4.95
"blood",4.43
"blood",2.97
"blood",5.52
"blood",17.32
"blood",4.95
"blood",4.95
"blood",3.99
"blood",13.1
"blood",4.95
"blood",20.4
"blood",12.37
"blood",17.32
"blood",15.36
"blood",6.59
"blood",6.64
"blood",5.55
"blood",8.91
"blood",22.63
"blood",8.43
"blood",14.01
"blood",4.95
"blood",5.94
"blood",30.5
"blood",23.62
"blood",14.71
"blood",8.53
"blood",6.96
"blood",4.35
"blood",4.35
"blood",5.22
"blood",4.79
"blood",5.92
"blood",9.04
"blood",13.86
"blood",6.9
"blood",5.7
"blood",12
"blood",15.59
"blood",5.58
"blood",4.79
"blood",3.39
"blood",9.07
"blood",9.59
"blood",4.79
"blood",18
"blood",6.41
"blood",7.28
"blood",69.16
"blood",9.22
"blood",5.03
"blood",9.93
"blood",3.51
"blood",9.13
"blood",5.62
"blood",9.06
"blood",4.21
"blood",12.25
"blood",2.81
"blood",7.02
"blood",4.44
"blood",5.77
"blood",3.97
"blood",5.65
"blood",5.48
"blood",2.81
"blood",4.47
"blood",4.21
"blood",4.21
"blood",3.11
"blood",7.29
"blood",3.51
"blood",3.51
"blood",4.13
"blood",3.48
"blood",4.21
"blood",4.21
"blood",6.32
"blood",11.94
"blood",17.94
"blood",3.51
"blood",5.62
"blood",2.81
"blood",4.89
"blood",3.51
"blood",16.21
"blood",4.7
"blood",5.62
"blood",5.62
"blood",10.91
"blood",9.78
"blood",3.51
"blood",4.4
"blood",6.32
"blood",2.81
"blood",8.78
"blood",7.45
"blood",4.89
"blood",4.21
"blood",4.21
"blood",6.32
"blood",3.51
"blood",4.21
"blood",12.48
"blood",13.22
"blood",4.92
"blood",46.66
"blood",4.13
"blood",3.97
"blood",3.51
"blood",5.62
"blood",3.97
"blood",5.45
"blood",4.21
"blood",4.21
"blood",4
"blood",5.55
"blood",2.81
"blood",5.97
"blood",6.91
"blood",13.34
"blood",4.21
"blood",8.43
"blood",3.97
"blood",7.54
"blood",2.81
"blood",5.45
"blood",4.47
"blood",15.95
"blood",4.97
"blood",4.92
"blood",2.81
"blood",5.2
"blood",6.28
"blood",4.44
"blood",3.51
"blood",4.47
"blood",5.96
"blood",4.48
"blood",6.32
"blood",4.97
"blood",5.62
"blood",8.88
"blood",6.95
"blood",20.27
"blood",6.04
"blood",9.83
"blood",3.51
"blood",3.48
"blood",4.13
"blood",13.19
"blood",11.19
"blood",6.22
"blood",5.62
"blood",3.51
"blood",3.97
"blood",2.98
"blood",10.46
"blood",6.03
"blood",14.82
"blood",5.96
"blood",6.56
"blood",3.51
"blood",5.62
"blood",4.21
"blood",18.22
"blood",11.69
"blood",3.51
"blood",10.53
"blood",12.91
"blood",6.26
"blood",4.21
"blood",7.02
"blood",19.66
"blood",3.48
"blood",3.46
"blood",4.21
"blood",3.48
"blood",4.21
"blood",19.82
"blood",14.46
"blood",6.32
"blood",6.91
"blood",2.81
"blood",7.45
"blood",3.51
"blood",9.52
"blood",7.73
"blood",2.81
"blood",5.62
"blood",4.92
"blood",4.44
"blood",2.81
"blood",3.11
"blood",9.16
"blood",7.02
"blood",4.92
"blood",9.35
"blood",3.97
"blood",6.32
"blood",12.26
"blood",6.6
"blood",9.13
"blood",3.97
"blood",3.51
"blood",5.62
"blood",9.44
"blood",14.75
"blood",13.41
"blood",2.81
"blood",6.32
"blood",10.05
"blood",6.35
"blood",3.97
"blood",7.02
