"source","width"
"blood",5.18
"blood",3.11
"blood",14.64
"blood",75.99
"blood",14.78
"blood",15.91
"blood",2.78
"blood",16.07
"blood",7.41
"blood",15.53
"blood",18.64
"blood",33.69
"blood",24.4
"blood",12.76
"blood",15.21
"blood",3.24
"blood",4.88
"blood",4.14
"blood",6.76
"blood",16.81
"blood",7.87
"blood",13.46
"blood",24.78
"blood",3.81
"blood",6.21
"blood",3.73
"blood",2.2
"blood",2.93
"blood",1.15
"blood",20.37
"blood",1.46
"blood",11.13
"blood",3.73
"blood",3.73
"blood",12.03
"blood",36.11
"blood",3.7
"blood",7.83
"blood",2.95
"blood",3.7
"blood",9.14
"blood",7.66
"blood",3.1
"blood",7.24
"blood",2.52
"blood",7.08
"blood",37.17
"blood",2.97
"blood",6.86
"blood",2.24
"blood",19.21
"blood",6.33
"blood",3.16
"blood",2.92
"blood",3.59
"blood",4.54
"blood",4.06
"blood",4.31
"blood",6.46
"blood",4.31
"blood",8.13
"blood",6.02
"blood",22.98
"blood",4.18
"blood",5.07
"blood",7.11
"blood",9.14
"blood",10.06
"blood",7.9
"blood",2.89
"blood",12.72
"blood",3.05
"blood",5.75
"blood",8.63
"blood",7.11
"blood",7.18
"blood",10.92
"blood",5.08
"blood",3.05
"blood",8.18
"blood",6.79
"blood",9.87
"blood",5.86
"blood",3.84
"blood",2.9
"blood",1.3
"blood",24.77
"blood",4.78
"blood",6.42
"blood",2.9
"blood",2.65
"blood",17.67
"blood",2.05
"blood",19.33
"blood",3.11
"blood",3.42
"blood",2.9
"blood",2.16
"blood",6.86
"blood",5.8
"blood",4.92
"blood",4.1
"blood",4.13
"blood",4.91
"blood",2.9
"blood",4.1
"blood",2.9
"blood",4.83
"blood",6.77
"blood",3.87
"blood",7.73
"blood",3.87
"blood",6.77
"blood",5.2
"blood",9.38
"blood",2.73
"blood",8.88
"blood",3.42
"blood",3.87
"blood",4.1
"blood",2.73
"blood",5.56
"blood",21.07
"blood",3.67
"blood",30.78
"blood",4.1
"blood",1.9
"blood",0.68
"blood",3.87
"blood",2.73
"blood",4.83
"blood",2.41
"blood",5.87
"blood",2.9
"blood",26.85
"blood",2.73
"blood",8.21
"blood",6.43
"blood",7.63
"blood",2.74
"blood",4.45
"blood",12.38
"blood",3.96
"blood",7.73
"blood",4.22
"blood",4.08
"blood",4.87
"blood",2.1
"blood",11.06
"blood",5.32
"blood",10.33
"blood",2.97
"blood",5.31
"blood",21.91
"blood",6.28
"blood",5.49
"blood",5.6
"blood",2.97
"blood",2.21
"blood",2.97
"blood",5.04
"blood",11.38
"blood",4.95
"blood",3.96
"blood",2.21
"blood",8.58
"blood",3.96
"blood",15.25
"blood",4.73
"blood",7.81
"blood",6.12
"blood",5.22
"blood",4.87
"blood",2.77
"blood",4.95
"blood",8.63
"blood",7.62
"blood",4.94
"blood",4.95
"blood",4.95
"blood",14.26
"blood",11.25
"blood",9.1
"blood",4.61
"blood",3.48
"blood",3.48
"blood",3.48
"blood",4.35
"blood",3.83
"blood",2.96
"blood",4.78
"blood",5.4
"blood",2.3
"blood",2.31
"blood",4.29
"blood",5.29
"blood",2.39
"blood",3.83
"blood",2.71
"blood",3.49
"blood",4.51
"blood",2.88
"blood",10.63
"blood",5.16
"blood",4.98
"blood",11.87
"blood",5.83
"blood",4.71
"blood",8.44
"blood",2.11
"blood",2.81
"blood",3.51
"blood",4.25
"blood",3.51
"blood",5.27
"blood",2.81
"blood",4.21
"blood",2.67
"blood",5.11
"blood",2.98
"blood",3.46
"blood",3.23
"blood",2.81
"blood",2.98
"blood",2.81
"blood",3.51
"blood",3.11
"blood",3.23
"blood",3.51
"blood",3.51
"blood",2.76
"blood",2.48
"blood",3.51
"blood",2.81
"blood",2.81
"blood",3.51
"blood",13.45
"blood",2.81
"blood",3.51
"blood",2.81
"blood",2.44
"blood",2.81
"blood",8.49
"blood",2.74
"blood",4.92
"blood",4.92
"blood",5.45
"blood",4.3
"blood",3.51
"blood",2.51
"blood",5.62
"blood",2.81
"blood",4.15
"blood",2.98
"blood",4.44
"blood",3.51
"blood",3.51
"blood",4.92
"blood",2.81
"blood",2.81
"blood",5.66
"blood",10.61
"blood",4.21
"blood",28.43
"blood",4.13
"blood",2.98
"blood",3.51
"blood",5.62
"blood",2.48
"blood",4.09
"blood",3.51
"blood",3.51
"blood",2.44
"blood",4.89
"blood",2.81
"blood",4.4
"blood",4.71
"blood",10.39
"blood",2.81
"blood",4.92
"blood",3.48
"blood",3.14
"blood",2.81
"blood",3.24
"blood",3.48
"blood",7.98
"blood",2.98
"blood",3.51
"blood",2.81
"blood",4.21
"blood",3.46
"blood",4.22
"blood",2.81
"blood",3.48
"blood",3.48
"blood",2.92
"blood",5.62
"blood",2.98
"blood",5.62
"blood",4.72
"blood",3.48
"blood",14.18
"blood",5.45
"blood",4.92
"blood",3.51
"blood",2.48
"blood",3.44
"blood",10.05
"blood",5.34
"blood",3.33
"blood",4.21
"blood",2.81
"blood",1.99
"blood",2.48
"blood",5.97
"blood",2.52
"blood",6.87
"blood",3.48
"blood",3.08
"blood",2.81
"blood",4.21
"blood",2.81
"blood",7.85
"blood",4.68
"blood",2.81
"blood",5.62
"blood",7.45
"blood",2.48
"blood",4.21
"blood",5.62
"blood",15.45
"blood",2.48
"blood",2.83
"blood",2.81
"blood",2.48
"blood",3.51
"blood",9.69
"blood",9.23
"blood",6.32
"blood",3.46
"blood",2.11
"blood",4.97
"blood",2.81
"blood",5.87
"blood",4.92
"blood",2.81
"blood",4.92
"blood",2.11
"blood",4
"blood",2.11
"blood",2.44
"blood",4.05
"blood",4.21
"blood",2.81
"blood",3.51
"blood",2.48
"blood",6.32
"blood",6.3
"blood",3.46
"blood",7.02
"blood",2.98
"blood",2.81
"blood",4.21
"blood",5.46
"blood",6.39
"blood",7.45
"blood",2.81
"blood",3.51
"blood",6.47
"blood",4.16
"blood",2.98
"blood",5.62
"blood",4.21
"blood",3.69
"blood",2.98
"blood",3.51
"blood",2.11
"blood",2.2
"blood",1.73
"blood",5.03
"blood",2.11
"blood",8.36
"blood",6.47
"blood",2.76
