"mp_ml","sex"
2.5,"male"
2.5,"female"
52.5,"male"
0,"female"
6.25,"female"
23.75,"female"
286.25,"male"
3.75,"female"
5,"male"
1.25,"male"
513.75,"male"
58.75,"male"
11.25,"female"
11.25,"female"
5,"male"
3.75,"male"
125,"male"
55,"female"
1211.25,"male"
23.75,"male"
18.75,"male"
35,"female"
91.25,"female"
7.5,"male"
1.25,"female"
15,"female"
