"binomial","ID","Year","Lat","Long","Frequency","Duration","n","n_area","tau_p","tau_p_min","tau_p_max","tau_p_var","tau_v","tau_v_min","tau_v_max","tau_v_var","sigma","l_v","diffusion","diffusion_min","diffusion_max","hr","hr_min","hr_max"
"Tapirus_terrestris","Ariel",2022,-19.314406,-55.7590895,60,71.081712962963,1650,62.4368218487293,90259.0833010087,68387.639006878,119125.36003062,142555252.022509,1194.01940087186,1038.04684677364,1373.4277350676,6782.82058473248,312591.247928389,64.3055770371818,6.74104468402685,6.23479478296725,7.2667740602103,4174391.89425694,3203663.06150563,5271623.27058938
"Tapirus_terrestris","Berinjela",2023,-13.025585,-52.402151,60,419.958298611111,8651,1130.35745904948,29381.2140720066,27433.2990213742,31467.4418002911,1021634.55361581,737.552953974588,659.554799101533,824.775076548111,1673.02897106839,423802.620701994,103.14390119235,28.361987691537,27.5469378069134,29.1887545767982,5891738.32428669,5553235.58014909,6240114.09074293
"Tapirus_terrestris","Carminha",2021,-19.323652,-55.748816,60,402.08287037037,9323,1741.59678746277,16564.2889692525,15566.133042992,17626.4502107944,267410.766254212,1577.41935172058,1489.37334200442,1670.67030207069,2075.85048110855,127881.540542945,110.354770718402,12.1079476421878,11.7527663542935,12.4683426234167,2378632.86797982,2268219.55987642,2491633.26869034
"Tapirus_terrestris","Darro",2023,-13.035758,-52.415393,60,391.531493055556,7483,1390.48197722612,21142.1433897688,19798.3483418619,22577.1473152849,485509.65441055,869.160457375992,782.758043043971,965.100144775655,2045.90778613894,591813.521508339,155.979640363631,52.6197010375889,50.9996886743967,54.26468943035,9646445.64483896,9146019.23200243,10160013.0935807
"Tapirus_terrestris","Durodematar",2022,-20.4492475,-54.5609575,60,155.542152777778,3352,286.277913753093,43264.750739046,37833.4121833182,49475.8085113223,8201466.12622897,554.698269764181,418.997981956656,734.347619152031,5495.78812626373,194302.219484827,49.9114495916489,8.50359087792068,8.08367717292044,8.93398734154843,2437013.16257234,2162859.7139029,2727288.31418242
"Tapirus_terrestris","Farofo",2018,-19.2893985,-55.7682125,60,370.386053240741,7856,1492.48857169237,17507.6515592311,16356.0216253365,18740.3679293644,356995.712435316,1820.96548146009,1716.64820368814,1931.6219115513,2916.22771203907,307640.764808189,178.878790838481,27.1305316890101,26.2491657958436,28.0262479555764,4403444.98357808,4182851.4407572,4629627.22566678
"Tapirus_terrestris","Fernanda",2022,-13.038578,-52.41648,60,241.666701388889,4130,799.165833336028,20282.4645250589,18511.3735526469,22223.0060908392,854050.0317214,1320.00181448285,1188.26057131895,1466.3490755264,4757.41365039032,310789.678429163,142.219843080789,27.4570961893946,26.2393270797627,28.7020992948614,3836980.10507459,3575533.39605345,4107520.99637506
"Tapirus_terrestris","Jilo",2022,-13.022291,-52.4021995,60.1166666666667,249.957256944444,3240,394.872073185387,35365.6154141454,31390.1509953948,39844.5599641981,4362102.38248786,995.322273888139,866.217287015111,1143.66965858137,4644.90654831768,1112041.895734,176.909773441136,58.6001782098202,55.7594311541814,61.5105112898501,16688428.627875,15082795.4542819,18374106.0214661
"Tapirus_terrestris","Kibou",2022,-13.016209,-52.414619,60,174.498668981482,3509,308.58319406981,37631.0681597689,33014.9811617399,42892.5669806603,5914684.62141958,868.378984021206,738.802113438995,1020.68205568549,4730.85194279975,616888.944154108,119.312205197873,32.8985703870396,31.279315113886,34.5581136352954,5758721.61435737,5134053.59017186,6418732.57281164
"Tapirus_terrestris","Krishna",2023,-6.097795,-50.157208,60,357.416759259259,7074,328.29898727426,87609.6861152026,77784.6126173725,98675.7771612284,26639652.1368287,625.641616795856,526.572540937384,743.349495532237,2779.96221162479,402067.400055227,53.5841299520567,9.25159773585548,8.89896227616177,9.61098915932732,4112770.40248571,3679867.07303999,4569399.47389781
"Tapirus_terrestris","Leo",2022,-13.080781,-52.388231,60.0333333333333,295.291655092593,5435,557.958338013751,39891.8867839987,36279.7247535182,43863.690863119,3558680.55719869,1344.8251379509,1240.43060103882,1458.00551046552,2951.95629979404,1366294.63369812,214.616348580329,75.1176623667599,72.0875445359406,78.2092867499444,20289438.0111439,18640624.3006301,22007126.8387273
"Tapirus_terrestris","Luigi",2021,-12.9784905,-52.3610875,60.0166666666667,41.7500925925926,804,72.0121013793117,41124.6077409686,31019.6463950654,54521.361730209,30495500.8635558,1848.69012860119,1545.94492775472,2210.72247156383,26042.2590358344,2049780.94314202,303.5532607729,88.1072009163105,78.437211654769,98.3311430617604,29248982.3998783,22886028.4467474,36380569.9984629
"Tapirus_terrestris","Manga",2021,-13.059024,-52.382018,60,124.999861111111,2643,374.596145931742,26696.5686874988,23414.1788252688,30439.1106348425,2991112.4163097,364.50515196253,181.296183442974,732.856055124947,12186.8272158909,139624.201294174,43.6620843098517,10.1602379110348,9.60809027853078,10.7275936951687,1823366.2369139,1643372.70322667,2012578.63158514
"Tapirus_terrestris","Pamonha",2023,-13.02088,-52.393839,60,240.708576388889,4287,206.13213035408,90171.6244498421,77541.0906196069,104859.524040114,44716537.2533629,930.483470730777,818.260600649549,1058.09749194316,3491.80120435257,2044266.61048486,145.240639397806,45.6147003661605,43.4865093803997,47.7930176658253,23825420.6327181,20683751.5291045,27185963.2550997
"Tapirus_terrestris","Querencia",2022,-13.034196,-52.4168455,60,64.7504398148148,1068,160.653887693125,27901.6936150077,22951.4511401181,33919.6202380847,7018537.60832164,1149.26893354647,921.785590996261,1432.89187259644,15003.9534956475,305532.640700615,112.18230462142,23.4025786376297,21.3334427039074,25.5661107300915,3997219.70727709,3403009.84488894,4638540.53960175
