"binomial","ID","mean_HFI","max_HFI","Native_forest","Pasture","Water"
"Priodontes_maximus","Laura",1.92708721444768,2.302,"14.09","81.41"," 4.50"
"Priodontes_maximus","Stacy",1.93139879957312,2.399,"44.49","47.29"," 8.23"
