"binomial","ID","Year","Lat","Long","Frequency","Duration","n","n_area","tau_p","tau_p_min","tau_p_max","tau_p_var","tau_v","tau_v_min","tau_v_max","tau_v_var","sigma","l_v","diffusion","diffusion_min","diffusion_max","hr","hr_min","hr_max"
"Priodontes_maximus","Laura",2022,-19.172583,-55.768685,7,66.2922800925926,3916,77.1100385476972,55099.2531405364,43106.8108388578,70428.0283687383,42202915.3337233,67.6346277230409,51.9403118175431,88.0711475761548,72.9287670642187,342470.006736773,20.503262269552,12.5164300210027,11.8094897038223,13.2436301423626,3853810.01340264,3041911.38658613,4760293.68341588
"Priodontes_maximus","Stacy",2022,-19.1506705,-55.8252265,7.06666666666667,295.432627314815,2156,51.8550445174925,92859.0084995321,69073.5130304923,124835.050096694,170096411.438006,NA,NA,NA,NA,1180810.0856523,NA,26.1257434856833,24.9954578904343,27.2806725400468,16785512.2319207,12530735.5301401,21652620.9012678
